Schema,Issue Type,Summary,Priority,Funded?,Target Qtr,Status,Assignee,Spec URL,Labels
Growth > Account Identity,Team KR (Deliverable),Screentime Report Cleanup of old data records,P1 - Deliverable,,2022 Q2,Not Started,erothberg@roblox.com,https://jira.rbx.com/browse/WEBAPP-3011,
Growth > Account Identity,Team KR (Deliverable),Active/Active Engineering Work,P1 - Deliverable,,2022 Q3,Not Started,,,
Growth > Account Identity,Team KR (Deliverable),Dynamo to EaaS for all Dynamo tables,P1 - Deliverable,,2022 Q3,Not Started,,https://confluence.rbx.com/display/PLATFORM/Infra+group+customer+engagement+roadmap+2022,
Growth > Account Identity,Team KR (Deliverable),MSSQL to EaaS for all MSSQL tables,P1 - Deliverable,,2022 Q3,Not Started,,https://confluence.rbx.com/display/PLATFORM/Infra+group+customer+engagement+roadmap+2022,
Growth > Account Identity,Team KR (Deliverable),In App ability to request deletion of account,P1 - Deliverable,No,2022 Q3,Not Started,cmarino@roblox.com,https://confluence.rbx.com/display/PRIVACY/Delete+Account+Specification,
Growth > Account Identity,Team KR (Deliverable),Begin Integrating Facial Age Estimation,P1 - Deliverable,,2022 Q3,Not Started,,,
Growth > Account Identity,Team KR (Deliverable),Active/Active Engineering Work Continued?,P1 - Deliverable,,2022 Q4,Not Started,,,
Growth > Account Identity,Team KR (Deliverable),Update to Kid Friendly Terms of Use,P1 - Deliverable,,2022 Q4,Not Started,dlee@roblox.com,https://jira.rbx.com/browse/WEBAPP-2606,
Growth > Account Identity,Team KR (Deliverable),Parental Consent at Signup for Web (Email+),P1 - Deliverable,,2022 Q4,Not Started,jhou@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Parental Consent at Signup for Lua (Email+),P1 - Deliverable,,2022 Q4,Not Started,pyu@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Monthly Notification Processor Parallelization,P1 - Deliverable,,2022 Q4,Not Started,pyu@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Prompt Existing users for Parental Consent for Lua (Email+),P1 - Deliverable,No,2023 Q1,Not Started,pyu@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Prompt Existing users for Parental Consent for Web (Email+),P1 - Deliverable,No,2023 Q1,Not Started,jhou@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Verified Parental Consent in Lua (ID Verification),P1 - Deliverable,,2023 Q1,Not Started,,,
Growth > Account Identity,Team KR (Deliverable),Verified Parental Consent on Web (ID Verification),P1 - Deliverable,,2023 Q1,Not Started,,,
Growth > Account Identity,Team KR (Deliverable),Allow someone to verify my age,P1 - Deliverable,,2023 Q2,Not Started,,,
Growth > Account Identity,Team KR (Deliverable),Birthday at sign up experiments,P1 - Deliverable,,,Not Started,,,
Growth > Account Identity,Team KR (Deliverable),Birthday confirmation prompt,P1 - Deliverable,,,Not Started,,,
Growth > Account Identity,Team KR (Deliverable),Remove ClickThroughAgreements assembly,P1 - Deliverable,,TBD,Not Started,djoss@roblox.com,,
